licenseNum,date_fetched,name,place_id,formatted_address,latitude,longitude,price_level,rating,url,website,formatted_phone_number
BU20357460,2019-05-01,Beach Jewelry Center,ChIJK0QPlDkx3YARPKP149cWT68,"121 Pine Ave, Long Beach, CA 90802, USA",33.7685104,-118.1926208,,4.4,https://maps.google.com/?cid=12632340596295836476,,(562) 437-7661
BU20348284,2019-05-01,Salon Shampu- Long Beach,ChIJa7froT4x3YARt70P8qu37gQ,"422 E Broadway, Long Beach, CA 90802, USA",33.76913989999999,-118.1871288,,4.6,https://maps.google.com/?cid=355423369737256375,http://vonbrinkleydesign.com/salon-shampu/,(562) 544-0264
BU04035981,2019-05-01,J S Auto Services,ChIJuy684RUx3YARcOd9Q9DXF7U,"912 E 3rd St, Long Beach, CA 90802, USA",33.7706536,-118.1812478,,,https://maps.google.com/?cid=13049135734814795632,,(562) 436-1955
BU20249410,2019-05-01,Payless ShoeSource,ChIJBSpngTgx3YARHb5FsWU52qQ,"201 E 5th St, Long Beach, CA 90802, USA",33.7727982,-118.1904152,1,4.1,https://maps.google.com/?cid=11878870076071722525,https://www.payless.com/stores-location/CA-LONG-BEACH-3249.html,(562) 983-0701
BU03034792,2019-05-01,Tom Redgate Memorial Recovery Center,ChIJ4eoDB1cx3YARYUtBym5_H3A,"1775 Chestnut Ave, Long Beach, CA 90813, USA",33.7893609,-118.1967306,,4.6,https://maps.google.com/?cid=8079316370342366049,http://www.bhs-inc.org/,(562) 599-8444
BU20200351,2019-05-01,Blue Engravers Signs and Graphics,ChIJy6aXUqk23YARgezmjjShYqA,"1375 Caspian Ave, Long Beach, CA 90813, USA",33.783366,-118.212448,,4.7,https://maps.google.com/?cid=11556976840893983873,https://www.facebook.com/pages/Blue-Engravers/107356075989784,(562) 983-5140
BU20562010,2019-05-01,Firestone Complete Auto Care,ChIJHZupD0cx3YARhqfXNKvd45c,"636 Locust Ave, Long Beach, CA 90802, USA",33.7750641,-118.1909047,,3.8,https://maps.google.com/?cid=10944835246836131718,https://local.firestonecompleteautocare.com/california/long-beach/636-locust-ave/?utm_source=google&utm_medium=organic&utm_campaign=localmaps&lw_cmp=oloc_google_localmaps_maps,(562) 350-0155
BU20624250,2019-05-01,PCH Poultry & Market,ChIJZQ926lYx3YARbf23EgO2PfE,"1701 Magnolia Ave, Long Beach, CA 90813, USA",33.7880728,-118.1983301,,4.1,https://maps.google.com/?cid=17383250261035187565,http://pchpoultry.com/,(562) 436-6500
BU20124970,2019-05-01,L.B. Santa Fe Garage Auto Service,ChIJo-GcJKg23YARJgfLSnr-UH4,"1581 Santa Fe Ave, Long Beach, CA 90813, USA",33.7870036,-118.2159013,,4.7,https://maps.google.com/?cid=9102054648110057254,http://longbeachsantafegarage.com/,(562) 437-5426
BU03093780,2019-05-01,Hastings & Vaughan,ChIJCSYgMag23YARxqR2jJMxxxc,"1560 Santa Fe Ave, Long Beach, CA 90813, USA",33.78684,-118.21519,,,https://maps.google.com/?cid=1713392693024302278,https://hastingsandvaughan.com/,(562) 436-1011
BU20420170,2019-05-01,Camden Harbor View Apartments,ChIJx0MKuzAx3YARkG1OX83PfZI,"40 Cedar Walk, Long Beach, CA 90802, USA",33.7660196,-118.1952135,,4.1,https://maps.google.com/?cid=10555821582600531344,https://www.camdenliving.com/long-beach-ca-apartments/camden-harbor-view,(562) 495-2559
BU20420180,2019-05-01,Camden Harbor View Apartments,ChIJx0MKuzAx3YARkG1OX83PfZI,"40 Cedar Walk, Long Beach, CA 90802, USA",33.7660196,-118.1952135,,4.1,https://maps.google.com/?cid=10555821582600531344,https://www.camdenliving.com/long-beach-ca-apartments/camden-harbor-view,(562) 495-2559
BU04042640,2019-05-01,Family Pharmacy,ChIJw1bemewx3YARW9Y0_nWq0Gk,"1400 Atlantic Ave, Long Beach, CA 90813, USA",33.7838231,-118.1849398,,5,https://maps.google.com/?cid=7624781592891020891,http://familypharmacylongbeach.com/,(562) 591-4417
BU20520070,2019-05-01,The Funnel House,ChIJV26-_yQx3YAR9BxF_ADj5_M,"425 Shoreline Village Drive, Long Beach, CA 90802, USA",33.7604656,-118.1914336,,4.5,https://maps.google.com/?cid=17575265664208542964,http://thefunnelhouse.com/,(562) 901-1835
BU20546530,2019-05-01,Antonio's Barber Supply,ChIJP5uARkYx3YAR9o3cO9NrYN0,"742 Pine Ave, Long Beach, CA 90813, USA",33.7762001,-118.1921172,,4.4,https://maps.google.com/?cid=15951868435132878326,http://antoniosbarbersupply.com/,(562) 437-2305
BU20213750,2019-05-01,Minuteman Press,ChIJWyWT8Ecx3YARf8_4Q8MQq5w,"137 W 5th St, Long Beach, CA 90802, USA",33.7731037,-118.1933449,2,5,https://maps.google.com/?cid=11289135321779326847,http://www.longbeach.minutemanpress.com/,(562) 436-8500
BU20460250,2019-05-01,St Mary's Radiation Oncology,ChIJHckaCEQx3YARDp6nWpMiilc,"1043 Elm Ave #110, Long Beach, CA 90813, USA",33.7797101,-118.1883584,,,https://maps.google.com/?cid=6307892244362272270,,(562) 491-9890
BU20604240,2019-05-01,First Class Auto,ChIJV6K7Ulsx3YARecdGkFG8WsQ,"1400 Long Beach Boulevard, Long Beach, CA 90813, USA",33.7843514,-118.1890716,,5,https://maps.google.com/?cid=14148828237836765049,,(562) 218-5425
BU06082440,2019-05-01,Neuromedical Diagnostic Group,ChIJJzEPrukz3YAROEBV6XfRq14,"1045 Atlantic Ave #719, Long Beach, CA 90813, USA",33.780047,-118.185334,,3,https://maps.google.com/?cid=6821776373528739896,http://neurologymedicalgroup.com/,(562) 426-3656
BU20613160,2019-05-01,Shutts Fabricators,ChIJYdIpq6k23YARWM4_aJTILbg,"1632 W 15th St, Long Beach, CA 90813, USA",33.78545539999999,-118.2146318,,,https://maps.google.com/?cid=13271484216660446808,http://www.shuttsfab.com/,(562) 432-4648
BU20521921,2019-05-01,Maru Maki Sushi,ChIJR4Cr9z0x3YAR46nX9cIc7cM,"745 E Broadway, Long Beach, CA 90802, USA",33.7694787,-118.1825428,2,4.4,https://maps.google.com/?cid=14117972030550157795,,(562) 435-1847
BU20326390,2019-05-01,Johnny Rockets,ChIJrWDjtDkx3YARquC_Ga0IK1g,"245 Pine Ave #110, Long Beach, CA 90802, USA",33.7698844,-118.1925551,2,3.7,https://maps.google.com/?cid=6353181238890586282,https://johnnyrockets.com/locations/pine-court-long-beach-ca-usa,(562) 983-1332
BU20704730,2019-05-01,Poly Burgers,ChIJO7ZvxEIx3YARNk2yIC69etY,"1460 Atlantic Ave, Long Beach, CA 90813, USA",33.7847262,-118.1847681,1,4.5,https://maps.google.com/?cid=15454873077089979702,https://www.facebook.com/pages/Poly-Burgers/149814138396594,(562) 599-2826
BU20608350,2019-05-01,Cafe Sevilla,ChIJxfZ7lzkx3YARIzO7b3L1pqY,"140 Pine Ave, Long Beach, CA 90802, USA",33.7688329,-118.192308,2,4.2,https://maps.google.com/?cid=12008555328279622435,https://www.cafesevilla.com/,(562) 495-1111
BU20440250,2019-05-01,84 Welding Shop,ChIJG9RPXqY23YAR8bDcZhN2b00,"2129 W Anaheim St, Long Beach, CA 90813, USA",33.7827324,-118.2203289,,5,https://maps.google.com/?cid=5579808289037529329,,(562) 437-2819
BU20566330,2019-05-01,Harbor Custom Canvas,ChIJ8z2YT1Ix3YAROIz57ZPQqiw,"733 W Anaheim St, Long Beach, CA 90813, USA",33.7830693,-118.2029099,,3.3,https://maps.google.com/?cid=3218614217480965176,http://www.harborcustomcanvas.com/,(562) 436-7708
BU20042410,2019-05-01,Inn of Long Beach,ChIJn69m1D0x3YAR4FYqJwKFbQ4,"185 Atlantic Ave, Long Beach, CA 90802, USA",33.76911870000001,-118.1852685,,3.3,https://maps.google.com/?cid=1039633333285967584,http://www.innoflongbeach.com/,(562) 435-3791
BU20220880,2019-05-01,El Taco Loco #3,ChIJL3xHPlEx3YAR6339xHnF6jk,"1465 Magnolia Ave, Long Beach, CA 90813, USA",33.78556599999999,-118.1984032,,4.2,https://maps.google.com/?cid=4173365131498847723,,(562) 437-6228
BU20620710,2019-05-01,Viet Long Income Tax & Pro,ChIJPaIc1mkx3YARQioa_HC4MlE,"831 E Anaheim St, Long Beach, CA 90813, USA",33.7830574,-118.1824691,,5,https://maps.google.com/?cid=5850941661313116738,,(562) 599-1410
BU20722390,2019-05-01,Enjoy Hair & Nail,ChIJi8H_kEQx3YARtCYaaStN2Zc,"1236 Long Beach Boulevard, Long Beach, CA 90813, USA",33.78205440000001,-118.1891306,,4.6,https://maps.google.com/?cid=10941861618515584692,,(562) 436-6232
BU20712070,2019-05-01,Monica's Bakery,ChIJKUTQslox3YARfzhp5kmG_dI,"133 W Anaheim St, Long Beach, CA 90813, USA",33.7827489,-118.1933551,1,4.2,https://maps.google.com/?cid=15203455569029052543,https://monicas-bakery.business.site/,(562) 591-5450
BU20031320,2019-05-01,Nissi Beauty Salon,ChIJ3Z63eT4x3YARXR3OkgTNwG8,"220 Atlantic Ave, Long Beach, CA 90802, USA",33.7697609,-118.1847747,,4.8,https://maps.google.com/?cid=8052661553264991581,https://www.facebook.com/nissisalon/,(562) 326-6160
BU20330720,2019-05-01,Tugboat Pete's Hot Dog Stand,ChIJKf1sYiQx3YAR_EHpp142Omc,"421 Shoreline Village Dr, Long Beach, CA 90802, USA",33.7600905,-118.1918066,,4.6,https://maps.google.com/?cid=7438317514727703036,,(562) 436-4919
BU20461120,2019-05-01,European Auto Garage,ChIJNwzp_RUx3YARkBDva76wS-s,"820 E 3rd St, Long Beach, CA 90802, USA",33.770286,-118.182082,,4.2,https://maps.google.com/?cid=16954839554067468432,,(562) 432-7544
BU20710490,2019-05-01,Las Islitas Restaurant,ChIJVxWQI6g23YARQ2dFsx2oCzU,"1585 Santa Fe Ave, Long Beach, CA 90813, USA",33.7871655,-118.2156518,,4.4,https://maps.google.com/?cid=3822333554269185859,,(562) 436-2829
BU20712330,2019-05-01,T & Y Travel & Tax Services,ChIJY2jwbUAx3YARtwK2jzYzhz4,"629 E 7th St, Long Beach, CA 90813, USA",33.7755271,-118.18425,,,https://maps.google.com/?cid=4505626261639791287,,(562) 491-0320
BU20562980,2019-05-01,Long Beach Dairy & Spirits,ChIJRwhALz4x3YARe7qr2ue8ASU,"725 E 4th St, Long Beach, CA 90802, USA",33.77183,-118.1829761,,3.4,https://maps.google.com/?cid=2666620158372199035,,(562) 432-0219
BU20562150,2019-05-01,Quality Eye Care Optometry,ChIJ32hyuEcx3YARiAWG4n4CDoM,"619 Pine Ave, Long Beach, CA 90802, USA",33.77456460000001,-118.1925398,,4.2,https://maps.google.com/?cid=9443488212632077704,,(562) 366-0777
BU02038000,2019-05-01,Wayne Electric,ChIJacEEya423YARWwo4V9JiryY,"1560 W Anaheim St, Long Beach, CA 90813, USA",33.78233079999999,-118.2131422,,4.1,https://maps.google.com/?cid=2787555349911571035,http://wayneelectric.com/,(562) 432-0928
BU20539570,2019-05-01,Superior Electrical Advertising,ChIJDw8gS6823YARNjmWA9Q-zeU,"1700 W Anaheim St, Long Beach, CA 90813, USA",33.782428,-118.216121,,4.8,https://maps.google.com/?cid=16558960485225347382,http://www.superiorsigns.com/,(562) 495-3808
BU20343840,2019-05-01,Ice Cream & Frozen Yogurt On The Boardwalk,ChIJXci-9SQx3YARK2iVOA-3wtw,"429 Shoreline Village Drive, Long Beach, CA 90802, USA",33.7604416,-118.1913102,,4.4,https://maps.google.com/?cid=15907478109827721259,http://www.icecreamontheboardwalk.com/,(562) 495-0121
BU00067410,2019-05-01,Santa Fe Importers- Long Beach,ChIJ__-T66g23YARR074q-Bf024,"1401 Santa Fe Ave, Long Beach, CA 90813, USA",33.7839651,-118.2158609,2,4.7,https://maps.google.com/?cid=7985831982820511303,http://www.santafeimporters.com/,(562) 437-7775
BU21519410,2019-05-01,Quantum Sails SoCal,ChIJoeIdHKk23YARsEvwgycjfHY,"1620 W Cowles St, Long Beach, CA 90813, USA",33.78452650000001,-118.214367,,5,https://maps.google.com/?cid=8537737646211877808,https://www.quantumsails.com/lofts/socal,(562) 624-4325
BU97037700,2019-05-01,Industrial Tire Service Inc,ChIJ0_a2Zx003YAR76CzLJbtx_g,"2020 W 16th St, Long Beach, CA 90813, USA",33.7869886,-118.2191279,,4.7,https://maps.google.com/?cid=17926558071022395631,http://www.industrialtireservice.net/,(562) 495-9090
BU21512640,2019-05-01,Rocket Fuel,ChIJE7NOz6g23YARFvk4vnf8Ipk,"1701 W Anaheim St, Long Beach, CA 90813, USA",33.7831775,-118.2158506,,4.2,https://maps.google.com/?cid=11034659628233849110,,
BU21511570,2019-05-01,Cameron Welding Supply,ChIJ-Qa_rS8z3YARlw5r_kpuSts,"1690 Cota Ave, Long Beach, CA 90813, USA",33.787901,-118.216287,,3.8,https://maps.google.com/?cid=15801563510957870743,http://www.cameronwelding.com/,(562) 951-5818
BU21228980,2019-05-01,Shenanigans Irish Pub & Grille,ChIJTy8PYiQx3YAR8o3BIPDYd6E,"423 Shoreline Village Drive a, Long Beach, CA 90802, USA",33.7605676,-118.1911764,2,4.2,https://maps.google.com/?cid=11635006688188272114,http://shenaniganslb.com/,(562) 437-3734
BU21418260,2019-05-01,Kabala Tires,ChIJyWwgBa823YARI0yCKAiu3yQ,"1679 W 9th St, Long Beach, CA 90813, USA",33.7808243,-118.2151135,,5,https://maps.google.com/?cid=2657033655234481187,http://kabalatires.net/,(310) 896-7069
BU21126510,2019-05-01,West Coast Sandblasting,ChIJeVXH6Kc23YARNPJRT7SkYBc,"1516 Hayes Ave, Long Beach, CA 90813, USA",33.785906,-118.218397,,4,https://maps.google.com/?cid=1684527354968404532,http://wcsandblasting.net/,(562) 980-9272
BU20911550,2019-05-01,Residence Inn by Marriott Long Beach Downtown,ChIJI4d5ni0x3YARXtrTpQbUDT8,"600 Queensway Dr, Long Beach, CA 90802, USA",33.758684,-118.2012975,,4.4,https://maps.google.com/?cid=4543520724103715422,https://www.marriott.com/hotels/travel/lgbri-residence-inn-long-beach-downtown/?scid=bb1a189a-fec3-4d19-a255-54ba596febe2,(562) 495-0700
BU20911560,2019-05-01,Residence Inn by Marriott Long Beach Downtown,ChIJI4d5ni0x3YARXtrTpQbUDT8,"600 Queensway Dr, Long Beach, CA 90802, USA",33.758684,-118.2012975,,4.4,https://maps.google.com/?cid=4543520724103715422,https://www.marriott.com/hotels/travel/lgbri-residence-inn-long-beach-downtown/?scid=bb1a189a-fec3-4d19-a255-54ba596febe2,(562) 495-0700
BU21117270,2019-05-01,C&C Towing,ChIJ9deVUevKwoARXYJiV9q5nOQ,"1557 Cota Ave, Long Beach, CA 90813, USA",33.7866061,-118.2167992,,3.6,https://maps.google.com/?cid=16473245884434514525,https://towingcnc.com/,(562) 244-8407
BU21102720,2019-05-01,La Bonita Inn Motel Long Beach,ChIJG_5NYgI03YARN5fxK5uN7Ro,"1626 W Esther St, Long Beach, CA 90813, USA",33.78880409999999,-118.2144075,,3.3,https://maps.google.com/?cid=1940362712063252279,https://reservation.magnusonhotels.com/bbe/page1.aspx?pcode=M19660,(562) 436-5729
BU21129080,2019-05-01,Beto's Auto Body and Collision center,ChIJ42Pnn6k23YARQoUYy_vPt7g,"1541 W 15th St, Long Beach, CA 90813, USA",33.7858054,-118.2130575,,3.5,https://maps.google.com/?cid=13310335904067913026,,(562) 436-8090
BU95012320,2019-05-01,D J Auto Body Parts,ChIJUTN7I6823YAR5o79wZpuTew,"1130 Santa Fe Ave, Long Beach, CA 90813, USA",33.7815271,-118.215224,,4.2,https://maps.google.com/?cid=17027387377116352230,http://www.djautobodyparts.com/,(562) 599-1234
BU21032520,2019-05-01,Tepechi Birrieria,ChIJodaC8Kg23YARGR1alGtUBmo,"1430 Santa Fe Ave, Long Beach, CA 90813, USA",33.7845298,-118.2152786,2,4.5,https://maps.google.com/?cid=7639886638907792665,http://www.tepechirestaurant.com/,(562) 436-2848
BU20825760,2019-05-01,Long Beach Boat Rentals,ChIJJz6U6iQx3YARd8V4oVn1rc4,"401 Shoreline Village Drive, Long Beach, CA 90802, USA",33.76156279999999,-118.1902826,,3.6,https://maps.google.com/?cid=14892829308094039415,http://boats4rent.com/,(855) 690-0794
BU20903970,2019-05-01,Twisters & Coffee,ChIJYYJqYiQx3YARomqPi2oX4Qs,"419 Shoreline Village Dr, Long Beach, CA 90802, USA",33.760804,-118.1904362,,4.2,https://maps.google.com/?cid=855991150552509090,http://www.shorelinevillage.com/portfolio-item/twisters-coffee/,(562) 495-1060
BU20732680,2019-05-01,Saga,ChIJXci-9SQx3YARW__neCoKLYQ,"429 Shoreline Village Drive #K, Long Beach, CA 90802, USA",33.7600905,-118.1918066,,4.9,https://maps.google.com/?cid=9524279964491841371,http://www.sagaclothing.com/,(562) 436-0855
BU98025200,2019-05-01,Jon's Body Shop,ChIJJf0A9a423YARHGj2aawXwQw,"1556 W 11th St, Long Beach, CA 90813, USA",33.7805798,-118.2134272,,5,https://maps.google.com/?cid=919041828239861788,,(562) 435-5758
BU87030410,2019-05-01,Fiberglass Arts Body Shop,ChIJmRsku6k23YARt7Q2QJeWgp8,"1540 Canal Ave, Long Beach, CA 90813, USA",33.7862628,-118.2136941,,5,https://maps.google.com/?cid=11493914775364482231,,(562) 495-1113
BU97005870,2019-05-01,Hot Licks Long Beach,ChIJYYJqYiQx3YAREgf_iqk1lGs,"419 Shoreline Village Dr, Long Beach, CA 90802, USA",33.7607293,-118.1908251,,4.7,https://maps.google.com/?cid=7751879860909180690,http://www.hotlickssauces.com/,(562) 437-8774
BU21525244,2019-05-01,Ace of Paints,ChIJwaGxb6g23YARojKKy5e15ZU,"1493 Cota Ave, Long Beach, CA 90813, USA",33.7854906,-118.2167466,,3.7,https://maps.google.com/?cid=10801238944877523618,,(562) 495-6222
BU21608430,2019-05-01,Mr. & Mrs. Fire Extinguisher,ChIJsR4fOh003YARxCEQyXgh13g,"1724 Hayes Ave, Long Beach, CA 90813, USA",33.7887146,-118.2186289,,,https://maps.google.com/?cid=8707465207197213124,http://www.mrmrsfireexting.com/,(562) 522-3893
MJ21700700,2019-05-01,Chronic Pain Releaf Center,ChIJ6b5BW6g23YAR99vDGP-k2CY,"1501 Santa Fe Ave, Long Beach, CA 90813, USA",33.785492,-118.215804,,4.8,https://maps.google.com/?cid=2799168583949868023,http://chroniclb.com/,(562) 676-4242
BU21708534,2019-05-01,Budget Towing & Private Property Impound,ChIJVTgPCx003YARELiRU_epqAk,"2112 W 17th St, Long Beach, CA 90813, USA",33.788008,-118.2202502,,3.2,https://maps.google.com/?cid=695993022152816656,http://btstowing.net/,(562) 435-0103
BU21803780,2019-05-01,Advanced Registration Services,ChIJh9HkjW4t3YAREkHTyYw3ctM,"1700 Santa Fe Ave Ste 206, Long Beach, CA 90813, USA",33.7888706,-118.215211,,5,https://maps.google.com/?cid=15236301567168823570,http://advancedregistration.business.site/,(562) 395-4535
BU21800592,2019-05-01,Express Fumigation Inc.,ChIJl-FDGrg33YARMbBd6flwCPk,"1487 Cota Ave, Long Beach, CA 90813, USA",33.78544249999999,-118.2167438,,,https://maps.google.com/?cid=17944716933922140209,http://www.expressfumigation.net/,(562) 920-9400
BU21802316,2019-05-01,Beach Cities Wholesalers,ChIJB_GKFh003YARi_mgMQiTmww,"2021 W 17th St, Long Beach, CA 90813, USA",33.788408,-118.2192603,,5,https://maps.google.com/?cid=908481413246941579,https://beachcitieswholesalers.com/,(562) 355-4074
BU21802355,2019-05-01,Studebaker Restoration Ltd,ChIJ9S1U47A33YARw4MeQ--qgYk,"1408 Santa Fe Ave, Long Beach, CA 90813, USA",33.7840229,-118.2150613,,5,https://maps.google.com/?cid=9908388599791780803,http://studebakerrestorationltd.com/,(562) 676-4460
BU20653110,2019-05-01,Silva Truck & Auto Electric,ChIJE_4gZAI03YARlmW2mgdvv5g,"1618 W Esther St, Long Beach, CA 90813, USA",33.7888746,-118.2141696,,3.8,https://maps.google.com/?cid=11006638092767880598,,(562) 491-1988
BU21800522,2019-05-01,Find Your Feet Sock + Sandal Shop,ChIJocFbASUx3YARutS2c2DPWZ4,"419 Shoreline Village Dr ste a, Long Beach, CA 90802, USA",33.7604714,-118.1915572,,4.7,https://maps.google.com/?cid=11410379144085034170,http://www.findyourfeetonline.com/,(562) 273-1411
MJ21700353,2019-05-01,Long Beach Green Room,ChIJDVsLhA0x3YARwzDdshC4flA,"1735 E 7th St, Long Beach, CA 90813, USA",33.7755308,-118.1701624,,4.1,https://maps.google.com/?cid=5800275751959605443,http://lbgreenroom.com/,(562) 218-0021
BU20030610,2019-05-01,Club Tan Tanning Salon,ChIJ14G6O70x3YARWkY4rNdZttw,"3924 E Anaheim St, Long Beach, CA 90804, USA",33.7823558,-118.1464184,,4.7,https://maps.google.com/?cid=15903997916947695194,http://www.clubtans.com/,(562) 494-7151
BU20049130,2019-05-01,Vinh Heng Market,ChIJS4OXmnMx3YARv4sOoOATmn0,"2148 E Anaheim St, Long Beach, CA 90804, USA",33.7824893,-118.165637,,,https://maps.google.com/?cid=9050568256633342911,,(562) 434-6535
BU06066350,2019-05-01,Recreation Park 18 Golf Course,ChIJsb15mccx3YARxl1yhCL7Q6k,"5001 Deukmejian Dr, Long Beach, CA 90804, USA",33.78043750000001,-118.135305,,4.2,https://maps.google.com/?cid=12196868341518982598,http://www.recpark18.com/,(562) 494-4424
BU20605470,2019-05-01,Hot Java,ChIJQQIFzgUx3YARnw5ikmGtGhQ,"2101 E Broadway, Long Beach, CA 90803, USA",33.7670229,-118.1656355,1,4.5,https://maps.google.com/?cid=1448660864732368543,https://facebook.com/Hot-Java-100870703290538/,(562) 433-0688
BU20033951,2019-05-01,Pacific Coast Style,ChIJDa3gEikw3YAR-JdjspOwFjo,"6232 Pacific Coast Hwy, Long Beach, CA 90803, USA",33.76636709999999,-118.1173736,,4.9,https://maps.google.com/?cid=4185727052087007224,https://pacificcoaststyle.wixsite.com/marina,(562) 961-0148
BU03078940,2019-05-01,Golden Burger,ChIJt1MH2Qgx3YARCtUJjRDFRxs,"2301 E 4th St, Long Beach, CA 90814, USA",33.7718833,-118.1641444,1,4.3,https://maps.google.com/?cid=1965756437246891274,,(562) 434-2625
BU20428652,2019-05-01,Olives Gourmet Grocer,ChIJnSNy5awx3YARpfACrw3jT0U,"3510 E Broadway, Long Beach, CA 90803, USA",33.76432369999999,-118.1508017,,4.5,https://maps.google.com/?cid=4994460159687454885,http://www.olivesgourmetgrocer.com/,(562) 439-7758
BU04002280,2019-05-01,Joe Jost's,ChIJ2bCn3p8x3YARlbTilqcLkvI,"2803 E Anaheim St, Long Beach, CA 90804, USA",33.782909,-118.158728,1,4.7,https://maps.google.com/?cid=17479045918197200021,http://joejosts.com/,(562) 439-5446
BU20603290,2019-05-01,The Wine Crush,ChIJGfbtvKsx3YARWIXmbanw4ZU,"3131 E Broadway, Long Beach, CA 90803, USA",33.7647682,-118.1548499,2,4.7,https://maps.google.com/?cid=10800177991895123288,http://www.thewinecrush.com/,(562) 438-9463
BU20535520,2019-05-01,Enrique's Mexican Restaurant,ChIJkf5f3isw3YARN6srTO4ktTY,"6210 E Pacific Coast Hwy, Long Beach, CA 90803, USA",33.7666908,-118.1178907,2,4.5,https://maps.google.com/?cid=3942097654731483959,http://www.enriqueslongbeach.com/,(562) 498-3622
BU20425260,2019-05-01,Rafaella's beauty salon,ChIJ8xa37KYx3YARwET1FCmMk5A,"3136 E 7th St, Long Beach, CA 90804, USA",33.7751867,-118.1551044,,3.8,https://maps.google.com/?cid=10417824471111255232,,(562) 856-3737
BU20124980,2019-05-01,GE Auto Paints & Supplies,ChIJEaW9WHQx3YARBBgaLf7e9GU,"1707 E Anaheim St, Long Beach, CA 90813, USA",33.7827255,-118.170656,,4.1,https://maps.google.com/?cid=7346742075407865860,,(562) 433-0915
BU20541800,2019-05-01,Dr. Duggan & Associates,ChIJDTujZrox3YARnH1_oYvDAmU,"4137 E 7th St, Long Beach, CA 90804, USA",33.7755978,-118.143956,,3.7,https://maps.google.com/?cid=7278594952261500316,http://www.drdugganandassociates.com/,(562) 433-7652
BU20325040,2019-05-01,Linne's Fashion Boutique,ChIJL5m4NqIx3YAR5cFtDFXn4vM,"1090 Redondo Ave, Long Beach, CA 90804, USA",33.7806878,-118.1522911,,5,https://maps.google.com/?cid=17573863048419852773,,(562) 433-8709
BU20404710,2019-05-01,Spa Sidney Beauty Lounge,ChIJub7L5Kwx3YAR-q-AWHIdsjs,"3519 E Broadway, Long Beach, CA 90803, USA",33.7646456,-118.1507712,2,5,https://maps.google.com/?cid=4301532971040550906,http://www.spasidney.com/,(562) 433-9665
