License Number,Days in Business,Yelp Reviews Count,Yelp Rating,Google rating,,ERNEST,SOVA,DAVID,ANTON
BU20712330,9309,1,1.0,0,,4,1,1,1
BU04035981,14313,1,5.0,0,,7,2,1,2
BU03093780,14678,1,5.0,0,,7,2,1,2
BU20613160,4847,5,4.0,0,,6,7,1,5
BU21608430,982,2,1.0,0,,2,1,1,1
BU20357460,6422,20,4.5,4.4,,7,8,7,8
BU20348284,5658,33,5.0,4.6,,7,9,8,9
BU03034792,7160,3,2.5,4.7,,5,6,3,5
BU20562010,4879,105,3.5,3.8,,6,7,8,7
BU20624250,1349,24,4.0,4.1,,7,8,7,7
BU20520070,11637,292,4.0,4.5,,8,10,8,9
BU20213750,6225,32,4.5,5,,7,9,8,9
BU20521921,5246,979,4.0,4.4,,9,10,9,9
BU20704730,4483,74,4.0,4.4,,7,9,8,8
BU20710490,4410,63,4.0,4.4,,7,9,8,8
BU20562150,4878,46,4.5,4.3,,7,9,8,8
BU98025200,7591,4,5.0,5,,8,8,3,5
BU96020430,8364,66,4.0,4.2,,5,9,8,7
         BU20506810        ,5180,2,5.0,0,,6,3,2,2
BU20728830,6085,1526,4,4.4,,10,10,9,9
BU03055430,15090,8,4.5,5,,8,7,6,5
BU20339500,5790,16,4.5,4.4,,7,7,7,7
BU20339480,6471,42,4,4.8,,7,8,8,7
BU20626360,4722,25,4,4.6,,7,8,7,6
BU20642460,4624,3,4,4.2,,5,5,2,3
BU20710850,4427,1,1,3.3,,4,3,2,1
BU20303930,8118,294,4.5,4.7,,8,10,9,10
BU20607830,4824,32,4.5,4.6,,7,8,7,7
BU20717700,4426,75,4.5,4.3,,7,9,8,8
BU20621200,5955,624,3.5,4.5,,7,8,7,7
BU20147170,6353,21,3.5,5,,6,7,6,6
BU20514601,5321,6,5,5,,6,6,5,5
BU20108630,11439,57,4.5,4.8,,8,9,8,8
BU20708540,4435,39,5,5,,8,8,8,8
BU20627050,4719,31,5,5,,8,8,8,8
BU20611040,8092,40,4.5,4.5,,7,8,7,7
BU20648800,4589,11,4.5,3,,7,7,6,6
BU20447200,5314,88,3.5,3.9,,6,7,8,6
BU07015940,12322,772,4,4.7,,9,10,9,9
BU20566390,4864,36,4,4.5,,6,8,7,6
BU20713450,4408,150,4,4.6,,8,10,8,8
BU20706270,4456,13,3.5,4.1,,6,7,6,4
BU20651460,4699,19,5,5,,7,8,7,6
BU20534810,4942,688,4,4.5,,9,10,9,9
BU20718850,4379,55,3.5,3.9,,6,7,8,6
BU20713730,7075,526,4,4.5,,9,10,9,9
BU20619680,4763,24,4.5,4.9,,8,8,8,7
BU20637960,4683,127,4.5,4.9,,9,10,9,9
BU20724170,4344,58,4.5,5,,9,9,8,8
BU20640320,4628,2,4,3.9,,4,3,4,2
BU20039940,8439,3,5,4,,6,3,4,3
BU20650900,4575,2,4.5,4.6,,6,3,4,2
BU20513900,6611,3,2.5,5,,2,2,3,2
BU20116990,6575,51,4.5,3.7,,6,8,8,8
BU02009281,15853,2,1,3.1,,3,1,2,1
BU20656290,11348,150,3.5,4.2,,6,8,7,7
BU20527700,5086,6,1.5,2.8,,3,2,3,1
BU20617490,4772,72,4.5,4.7,,8,9,9,7
BU20123500,8752,36,3,2.3,,3,5,4,5
BU20308080,7754,1,5,5,,7,2,2,1
BU20151821,6328,9,2.5,3.3,,4,5,3,3
BU20528920,5078,34,4,3.4,,6,6,6,6
BU02046870,15396,28,4,4,,7,8,6,6
BU20616290,10644,18,3.5,2.3,,5,6,4,5
BU20506810,5195,2,5,0,,5,2,2,2
BU20506750,5195,61,3,4.3,,6,8,5,6
BU20566480,4894,2,5,3.8,,5,3,4,2
BU20532260,5061,6,3.5,4.1,,4,6,6,3
BU20100140,7165,14,4.5,4.6,,7,7,6,6
BU20623640,4740,1,5,0,,4,2,1,1
BU20039460,6781,7,4.5,4.3,,6,7,6,5
BU02073660,15212,98,4.5,4.9,,9,9,9,8
BU20404710,5562,122,4.5,5,,7,10,9,9
BU20325040,8485,56,3.5,5,,5,8,7,6
BU20541800,5007,2,5,3.7,,4,6,3,2
BU20425260,7045,9,4,3.8,,4,6,5,4
BU20535520,6560,918,4,4.5,,10,10,8,9
BU20603290,4862,113,4,4.7,,7,10,7,8
BU04002280,14574,587,4.5,4.7,,9,10,8,10
BU20428652,5419,309,4,4.5,,7,10,8,9
BU03078940,14847,251,3,4.2,,6,10,7,7
BU20033951,6822,127,4.5,4.9,,9,10,8,9
BU20605470,4834,481,4,4.5,,9,10,8,9
BU06066350,12686,94,3.5,4.2,,8,8,7,7
BU20049130,6665,1,3,0,,3,2,1,1
BU20030610,6846,83,4.5,4.7,,8,9,9,8
BU21800522,428,1,5,4.7,,5,3,3,1
BU20653110,10692,1,5,3.6,,5,3,4,1
BU21802355,360,1,5,5,,5,3,3,1
BU21802316,503,3,5,5,,5,4,3,3